ID	Gene Name	Species	ENTREZ_GENE_ID
SON	SON DNA binding protein	Homo sapiens	6651,
SP100	SP100 nuclear antigen	Homo sapiens	6672,
SP110	SP110 nuclear body protein	Homo sapiens	3431,
SP140	SP140 nuclear body protein	Homo sapiens	11262,
SPARCL1	SPARC-like 1 (hevin)	Homo sapiens	8404,
SPC25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Homo sapiens	57405,
SPHKAP	SPHK1 interactor, AKAP domain containing	Homo sapiens	80309,
SPRYD5	SPRY domain containing 5 pseudogene; SPRY domain containing 5; similar to hCG1802386	Homo sapiens	120824,399937,84767,
SCAF1	SR-related CTD-associated factor 1	Homo sapiens	58506,
SCAP	SREBF chaperone	Homo sapiens	22937,
SOX1	SRY (sex determining region Y)-box 1	Homo sapiens	6656,
SOX10	SRY (sex determining region Y)-box 10	Homo sapiens	6663,
SOX11	SRY (sex determining region Y)-box 11	Homo sapiens	6664,
SOX13	SRY (sex determining region Y)-box 13	Homo sapiens	9580,
SOX17	SRY (sex determining region Y)-box 17	Homo sapiens	64321,
SOX18	SRY (sex determining region Y)-box 18	Homo sapiens	54345,
SOX2	SRY (sex determining region Y)-box 2	Homo sapiens	6657,
SOX3	SRY (sex determining region Y)-box 3	Homo sapiens	6658,
SOX30	SRY (sex determining region Y)-box 30	Homo sapiens	11063,
SOX4	SRY (sex determining region Y)-box 4	Homo sapiens	6659,
SOX5	SRY (sex determining region Y)-box 5	Homo sapiens	6660,
SOX6	SRY (sex determining region Y)-box 6	Homo sapiens	55553,
SOX7	SRY (sex determining region Y)-box 7	Homo sapiens	83595,
SOX8	SRY (sex determining region Y)-box 8	Homo sapiens	30812,
SOX9	SRY (sex determining region Y)-box 9	Homo sapiens	6662,
ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	Homo sapiens	6483,
ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	Homo sapiens	6487,
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	Homo sapiens	6484,
ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	Homo sapiens	10610,
ST6GALNAC6	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	Homo sapiens	30815,
ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	Homo sapiens	6480,
ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	Homo sapiens	84620,
ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	Homo sapiens	8128,
ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	Homo sapiens	51046,
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	Homo sapiens	7903,
STAMBP	STAM binding protein	Homo sapiens	10617,
STAMBPL1	STAM binding protein-like 1	Homo sapiens	57559,
SLK	STE20-like kinase (yeast)	Homo sapiens	9748,
STRADA	STE20-related kinase adaptor alpha	Homo sapiens	92335,
STRADB	STE20-related kinase adaptor beta	Homo sapiens	55437,
STEAP3	STEAP family member 3	Homo sapiens	55240,
STUB1	STIP1 homology and U-box containing protein 1	Homo sapiens	10273,
STT3A	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	Homo sapiens	3703,
SUB1	SUB1 homolog (S. cerevisiae)	Homo sapiens	10923,
SENP8	SUMO/sentrin specific peptidase family member 8	Homo sapiens	123228,
SAE1	SUMO1 activating enzyme subunit 1	Homo sapiens	10055,
SENP1	SUMO1/sentrin specific peptidase 1	Homo sapiens	29843,
SENP6	SUMO1/sentrin specific peptidase 6	Homo sapiens	26054,
SENP2	SUMO1/sentrin/SMT3 specific peptidase 2	Homo sapiens	59343,
SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	Homo sapiens	26168,
SWAP70	SWAP switching B-cell complex 70kDa subunit	Homo sapiens	23075,
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	Homo sapiens	6594,
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	Homo sapiens	6595,
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	Homo sapiens	6597,
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Homo sapiens	8467,
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Homo sapiens	6598,
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Homo sapiens	6599,
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	Homo sapiens	6601,
SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	Homo sapiens	6602,
SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	Homo sapiens	6603,
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	Homo sapiens	6604,
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	Homo sapiens	6605,
SFMBT1	Scm-like with four mbt domains 1	Homo sapiens	51460,
SEC23A	Sec23 homolog A (S. cerevisiae)	Homo sapiens	10484,
SEC23B	Sec23 homolog B (S. cerevisiae)	Homo sapiens	10483,
SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae)	Homo sapiens	29927,
SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)	Homo sapiens	55176,
SEC61B	Sec61 beta subunit	Homo sapiens	10952,
SFI1	Sfi1 homolog, spindle assembly associated (yeast)	Homo sapiens	9814,
SAP130	Sin3A-associated protein, 130kDa	Homo sapiens	79595,
SAP18	Sin3A-associated protein, 18kDa	Homo sapiens	10284,
SAP30	Sin3A-associated protein, 30kDa	Homo sapiens	8819,
SSB	Sjogren syndrome antigen B (autoantigen La)	Homo sapiens	6741,
SSNA1	Sjogren syndrome nuclear autoantigen 1	Homo sapiens	8636,
SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	Homo sapiens	10534,
SNIP1	Smad nuclear interacting protein 1	Homo sapiens	79753,
SMG5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	Homo sapiens	23381,
SMG6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	Homo sapiens	23293,
SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	Homo sapiens	9887,
SMCR7	Smith-Magenis syndrome chromosome region, candidate 7	Homo sapiens	125170,
SMCR7L	Smith-Magenis syndrome chromosome region, candidate 7-like	Homo sapiens	54471,
SRCAP	Snf2-related CREBBP activator protein	Homo sapiens	10847,
SP1	Sp1 transcription factor	Homo sapiens	6667,
SP2	Sp2 transcription factor	Homo sapiens	6668,
SP3	Sp3 transcription factor	Homo sapiens	6670,
SP4	Sp4 transcription factor	Homo sapiens	6671,
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	Homo sapiens	6689,
SHE	Src homology 2 domain containing E	Homo sapiens	126669,
SHF	Src homology 2 domain containing F	Homo sapiens	90525,
SHB	Src homology 2 domain containing adaptor protein B	Homo sapiens	6461,
SHD	Src homology 2 domain containing transforming protein D	Homo sapiens	56961,
SLA	Src-like-adaptor	Homo sapiens	6503,
SLA2	Src-like-adaptor 2	Homo sapiens	84174,
STARD13	StAR-related lipid transfer (START) domain containing 13	Homo sapiens	90627,
STARD9	StAR-related lipid transfer (START) domain containing 9	Homo sapiens	57519,
TRAT1	T cell receptor associated transmembrane adaptor 1	Homo sapiens	50852,
TBX19	T-box 19	Homo sapiens	9095,
TBX2	T-box 2	Homo sapiens	6909,
TBX3	T-box 3	Homo sapiens	6926,
TBX4	T-box 4	Homo sapiens	9496,
TBX5	T-box 5	Homo sapiens	6910,
TBR1	T-box, brain, 1	Homo sapiens	10716,
TAL1	T-cell acute lymphocytic leukemia 1	Homo sapiens	6886,
TAL2	T-cell acute lymphocytic leukemia 2	Homo sapiens	6887,
TLX1	T-cell leukemia homeobox 1	Homo sapiens	3195,
TLX2	T-cell leukemia homeobox 2	Homo sapiens	3196,
TLX3	T-cell leukemia homeobox 3	Homo sapiens	30012,
TCTA	T-cell leukemia translocation altered gene	Homo sapiens	6988,
TCL1A	T-cell leukemia/lymphoma 1A	Homo sapiens	8115,
TCL1B	T-cell leukemia/lymphoma 1B	Homo sapiens	9623,
TCL6	T-cell leukemia/lymphoma 6	Homo sapiens	27004,
TIAM1	T-cell lymphoma invasion and metastasis 1	Homo sapiens	7074,
TIAM2	T-cell lymphoma invasion and metastasis 2	Homo sapiens	26230,
TAF1L	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like	Homo sapiens	138474,
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	Homo sapiens	6872,
TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	Homo sapiens	6881,
TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	Homo sapiens	6882,
TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	Homo sapiens	6883,
TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	Homo sapiens	6884,
TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	Homo sapiens	8148,
TAF2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	Homo sapiens	6873,
TAF3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa	Homo sapiens	83860,
TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	Homo sapiens	6874,
TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	Homo sapiens	6875,
TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	Homo sapiens	6877,
TAF6	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	Homo sapiens	6878,
TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	Homo sapiens	10629,
TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	Homo sapiens	6879,
TAF7L	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa	Homo sapiens	54457,
TAF8	TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa	Homo sapiens	129685,
TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	Homo sapiens	6880,
TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	Homo sapiens	51616,
TBK1	TANK-binding kinase 1	Homo sapiens	29110,
TAOK1	TAO kinase 1	Homo sapiens	57551,
TAOK2	TAO kinase 2	Homo sapiens	9344,
TAOK3	TAO kinase 3	Homo sapiens	51347,
TAPBP	TAP binding protein (tapasin)	Homo sapiens	6892,
TARBP2	TAR (HIV-1) RNA binding protein 2	Homo sapiens	6895,
TARDBP	TAR DNA binding protein	Homo sapiens	23435,
TBP	TATA box binding protein	Homo sapiens	6908,
TAF1A	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa	Homo sapiens	9015,
TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	Homo sapiens	9014,
TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	Homo sapiens	9013,
TAF1D	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa; small nucleolar RNA, H/ACA box 32; small nucleolar RNA, H/ACA box 25	Homo sapiens	684959,692063,79101,
TMF1	TATA element modulatory factor 1	Homo sapiens	7110,
TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	Homo sapiens	23216,
TBC1D10A	TBC1 domain family, member 10A	Homo sapiens	83874,
TBC1D10C	TBC1 domain family, member 10C	Homo sapiens	374403,
TBC1D17	TBC1 domain family, member 17	Homo sapiens	79735,
TBC1D25	TBC1 domain family, member 25	Homo sapiens	4943,
TBC1D3F, TBC1D3C	TBC1 domain family, member 3E; TBC1 domain family, member 3F; TBC1 domain family, member 3G; TBC1 domain family member 3C-like protein ENSP00000341742; TBC1 domain family, member 3H; TBC1 domain family, member 3; TBC1 domain family, member 3I; TBC1 domain family, member 3B; TBC1 domain family, member 3C	Homo sapiens	414059,414060,643947,653380,654341,729837,729873,729877,84218,
TBC1D4	TBC1 domain family, member 4	Homo sapiens	9882,
TBC1D5	TBC1 domain family, member 5	Homo sapiens	9779,
TBC1D7	TBC1 domain family, member 7	Homo sapiens	51256,
TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	Homo sapiens	11138,
TBPL1	TBP-like 1	Homo sapiens	9519,
TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	Homo sapiens	25976,
TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	Homo sapiens	29844,
TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	Homo sapiens	7003,
TEAD2	TEA domain family member 2	Homo sapiens	8463,
TEAD3	TEA domain family member 3	Homo sapiens	7005,
TEAD4	TEA domain family member 4	Homo sapiens	7004,
TEK	TEK tyrosine kinase, endothelial	Homo sapiens	7010,
TELO2	TEL2, telomere maintenance 2, homolog (S. cerevisiae)	Homo sapiens	9894,
TINF2	TERF1 (TRF1)-interacting nuclear factor 2	Homo sapiens	26277,
TGIF1	TGFB-induced factor homeobox 1	Homo sapiens	7050,
TGIF2	TGFB-induced factor homeobox 2	Homo sapiens	60436,
TIAF1	TGFB1-induced anti-apoptotic factor 1	Homo sapiens	9220,
TH1L	TH1-like (Drosophila)	Homo sapiens	51497,
THAP10	THAP domain containing 10	Homo sapiens	56906,
THAP11	THAP domain containing 11	Homo sapiens	57215,
THAP4	THAP domain containing 4	Homo sapiens	51078,
THAP7	THAP domain containing 7	Homo sapiens	80764,
THAP8	THAP domain containing 8	Homo sapiens	199745,
THAP1	THAP domain containing, apoptosis associated protein 1	Homo sapiens	55145,
THOC1	THO complex 1	Homo sapiens	9984,
THOC4	THO complex 4	Homo sapiens	10189,
THOC5	THO complex 5	Homo sapiens	8563,
THOC7	THO complex 7 homolog (Drosophila)	Homo sapiens	80145,
THUMPD3	THUMP domain containing 3	Homo sapiens	25917,
TIA1	TIA1 cytotoxic granule-associated RNA binding protein	Homo sapiens	7072,
TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	Homo sapiens	7073,
TIPIN	TIMELESS interacting protein	Homo sapiens	54962,
TIMP1	TIMP metallopeptidase inhibitor 1	Homo sapiens	7076,
TIMP2	TIMP metallopeptidase inhibitor 2	Homo sapiens	7077,
TIMP3	TIMP metallopeptidase inhibitor 3	Homo sapiens	7078,
TIMP4	TIMP metallopeptidase inhibitor 4	Homo sapiens	7079,
TM2D1	TM2 domain containing 1	Homo sapiens	83941,
TMEM9B	TMEM9 domain family, member B	Homo sapiens	56674,
TRAF1	TNF receptor-associated factor 1	Homo sapiens	7185,
TRAF2	TNF receptor-associated factor 2	Homo sapiens	7186,
TRAF3	TNF receptor-associated factor 3	Homo sapiens	7187,
TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1	Homo sapiens	26146,
TRAF4	TNF receptor-associated factor 4	Homo sapiens	9618,
TRAF5	TNF receptor-associated factor 5	Homo sapiens	7188,
TRAF6	TNF receptor-associated factor 6	Homo sapiens	7189,
TRAF7	TNF receptor-associated factor 7	Homo sapiens	84231,
TRAP1	TNF receptor-associated protein 1	Homo sapiens	10131,
TNIP1	TNFAIP3 interacting protein 1	Homo sapiens	10318,
TNIP2	TNFAIP3 interacting protein 2	Homo sapiens	79155,
TRADD	TNFRSF1A-associated via death domain	Homo sapiens	8717,
TNFSF13, TNFSF12	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13	Homo sapiens	407977,8741,8742,
TNNI3K	TNNI3 interacting kinase; fucose-1-phosphate guanylyltransferase	Homo sapiens	51086,8790,
TOX2	TOX high mobility group box family member 2	Homo sapiens	84969,
TOX4	TOX high mobility group box family member 4	Homo sapiens	9878,
TRIAP1	TP53 regulated inhibitor of apoptosis 1	Homo sapiens	51499,
TP53RK	TP53 regulating kinase	Homo sapiens	112858,
TPRKB	TP53RK binding protein	Homo sapiens	51002,
TPI1	TPI1 pseudogene; triosephosphate isomerase 1	Homo sapiens	7167,729708,
TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	Homo sapiens	22974,
TTRAP	TRAF and TNF receptor associated protein	Homo sapiens	51567,
TANK	TRAF family member-associated NFKB activator	Homo sapiens	10010,
TRAIP	TRAF interacting protein	Homo sapiens	10293,
TIFA	TRAF-interacting protein with forkhead-associated domain	Homo sapiens	92610,
TIFAB	TRAF-interacting protein with forkhead-associated domain, family member B; chromosome 5 open reading frame 20	Homo sapiens	140947,497189,
TRAFD1	TRAF-type zinc finger domain containing 1	Homo sapiens	10906,
TNIK	TRAF2 and NCK interacting kinase	Homo sapiens	23043,
TRAF3IP2	TRAF3 interacting protein 2	Homo sapiens	10758,
TRAF3IP3	TRAF3 interacting protein 3	Homo sapiens	80342,
TRIM6	TRIM6-TRIM34 readthrough transcript; tripartite motif-containing 6; tripartite motif-containing 34	Homo sapiens	117854,445372,53840,
TRIOBP	TRIO and F-actin binding protein	Homo sapiens	11078,
TFG	TRK-fused gene	Homo sapiens	10342,
TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	Homo sapiens	55621,
TROVE2	TROVE domain family, member 2	Homo sapiens	6738,
TSC22D1	TSC22 domain family, member 1	Homo sapiens	8848,
TSC22D3	TSC22 domain family, member 3; GRAM domain containing 4	Homo sapiens	1831,23151,
TSC22D4	TSC22 domain family, member 4	Homo sapiens	81628,
TSPYL1	TSPY-like 1	Homo sapiens	7259,
TSPYL2	TSPY-like 2	Homo sapiens	64061,
TSPYL4	TSPY-like 4	Homo sapiens	23270,
TSR2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	Homo sapiens	90121,
TTK	TTK protein kinase	Homo sapiens	7272,
TXK	TXK tyrosine kinase	Homo sapiens	7294,
TYROBP	TYRO protein tyrosine kinase binding protein	Homo sapiens	7305,
TYRO3	TYRO3 protein tyrosine kinase	Homo sapiens	7301,
TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	Homo sapiens	8887,
TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	Homo sapiens	30851,
TCTEX1D4	Tctex1 domain containing 4	Homo sapiens	343521,
THEG	Theg homolog (mouse)	Homo sapiens	51298,
THY1	Thy-1 cell surface antigen	Homo sapiens	7070,
TCOF1	Treacher Collins-Franceschetti syndrome 1	Homo sapiens	6949,
TSFM	Ts translation elongation factor, mitochondrial	Homo sapiens	10102,
TUFM	Tu translation elongation factor, mitochondrial	Homo sapiens	7284,
UBOX5	U-box domain containing 5	Homo sapiens	22888,
U2AF1	U2 small nuclear RNA auxiliary factor 1	Homo sapiens	7307,
U2AF2	U2 small nuclear RNA auxiliary factor 2	Homo sapiens	11338,
UHMK1	U2AF homology motif (UHM) kinase 1	Homo sapiens	127933,
UBAC1	UBA domain containing 1	Homo sapiens	10422,
UBAC2	UBA domain containing 2	Homo sapiens	337867,
UBXN1	UBX domain protein 1	Homo sapiens	51035,
UBXN11	UBX domain protein 11	Homo sapiens	91544,
UBXN2B	UBX domain protein 2B	Homo sapiens	137886,
UBXN4	UBX domain protein 4	Homo sapiens	23190,
UBXN6	UBX domain protein 6	Homo sapiens	80700,
UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7	Homo sapiens	7364,
B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	Homo sapiens	8705,
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	Homo sapiens	2683,
B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	Homo sapiens	8703,
B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1; UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	Homo sapiens	10678,11041,
B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Homo sapiens	79369,
B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	Homo sapiens	146712,
GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	Homo sapiens	55568,
GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	Homo sapiens	63917,
GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	Homo sapiens	79695,
GALNT13, GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	Homo sapiens	114805,2589,
GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	Homo sapiens	79623,
GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	Homo sapiens	2590,
GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	Homo sapiens	8693,
GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	Homo sapiens	11227,
GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	Homo sapiens	11226,
GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	Homo sapiens	117248,
UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	Homo sapiens	6675,
GALE	UDP-galactose-4-epimerase	Homo sapiens	2582,
UGCG	UDP-glucose ceramide glucosyltransferase	Homo sapiens	7357,
UGGT1	UDP-glucose ceramide glucosyltransferase-like 1	Homo sapiens	56886,
UGGT2	UDP-glucose ceramide glucosyltransferase-like 2	Homo sapiens	55757,
UGDH	UDP-glucose dehydrogenase	Homo sapiens	7358,
UGP2	UDP-glucose pyrophosphorylase 2	Homo sapiens	7360,
UXS1	UDP-glucuronate decarboxylase 1	Homo sapiens	80146,
UFSP2	UFM1-specific peptidase 2	Homo sapiens	55325,
ULBP1	UL16 binding protein 1	Homo sapiens	80329,
ULBP3	UL16 binding protein 3	Homo sapiens	79465,
UPF1	UPF1 regulator of nonsense transcripts homolog (yeast)	Homo sapiens	5976,
UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	Homo sapiens	26019,
UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	Homo sapiens	65110,
UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)	Homo sapiens	65109,
URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	Homo sapiens	9816,
USO1	USO1 homolog, vesicle docking protein (yeast)	Homo sapiens	8615,
USP6NL	USP6 N-terminal like	Homo sapiens	9712,
UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	Homo sapiens	10813,
UTP3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	Homo sapiens	57050,
UTP6	UTP6, small subunit (SSU) processome component, homolog (yeast)	Homo sapiens	55813,
UVRAG	UV radiation resistance associated gene	Homo sapiens	7405,
USH1C	Usher syndrome 1C (autosomal recessive, severe)	Homo sapiens	10083,
USHBP1	Usher syndrome 1C binding protein 1	Homo sapiens	83878,
USH1G	Usher syndrome 1G (autosomal recessive)	Homo sapiens	124590,
USH2A	Usher syndrome 2A (autosomal recessive, mild)	Homo sapiens	7399,
VSIG4	V-set and immunoglobulin domain containing 4	Homo sapiens	11326,
VSTM2L	V-set and transmembrane domain containing 2 like	Homo sapiens	128434,
VTCN1	V-set domain containing T cell activation inhibitor 1	Homo sapiens	79679,
VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	Homo sapiens	9218,
VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	Homo sapiens	9217,
VAC14	Vac14 homolog (S. cerevisiae)	Homo sapiens	55697,
VPRBP	Vpr (HIV-1) binding protein	Homo sapiens	9730,
VTA1	Vps20-associated 1 homolog (S. cerevisiae)	Homo sapiens	51534,
WFDC2	WAP four-disulfide core domain 2	Homo sapiens	10406,
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2	Homo sapiens	124857,
WASF1	WAS protein family, member 1	Homo sapiens	8936,
WASF2	WAS protein family, member 2	Homo sapiens	10163,
WASF3	WAS protein family, member 3	Homo sapiens	10810,
WIPF1	WAS/WASL interacting protein family, member 1	Homo sapiens	7456,
WIPF2	WAS/WASL interacting protein family, member 2	Homo sapiens	147179,
WIPF3	WAS/WASL interacting protein family, member 3	Homo sapiens	644150,
WDTC1	WD and tetratricopeptide repeats 1	Homo sapiens	23038,
WSB2	WD repeat and SOCS box-containing 2	Homo sapiens	55884,
WDR1	WD repeat domain 1	Homo sapiens	9948,
WDR12	WD repeat domain 12	Homo sapiens	55759,
WDR13	WD repeat domain 13	Homo sapiens	64743,
WDR16	WD repeat domain 16	Homo sapiens	146845,
WDR18	WD repeat domain 18	Homo sapiens	57418,
DCAF11	WD repeat domain 23	Homo sapiens	80344,
WDR24	WD repeat domain 24	Homo sapiens	84219,
WDR25	WD repeat domain 25	Homo sapiens	79446,
WDR3	WD repeat domain 3	Homo sapiens	10885,
DCAF10	WD repeat domain 32	Homo sapiens	79269,
WDR33	WD repeat domain 33	Homo sapiens	55339,
WDR37	WD repeat domain 37	Homo sapiens	22884,
WDR4	WD repeat domain 4	Homo sapiens	10785,
DCAF12	WD repeat domain 40A	Homo sapiens	25853,
DCAF8	WD repeat domain 42A	Homo sapiens	50717,
WDR44	WD repeat domain 44	Homo sapiens	54521,
WDR47	WD repeat domain 47	Homo sapiens	22911,
WDR5	WD repeat domain 5	Homo sapiens	11091,
WDR6	WD repeat domain 6	Homo sapiens	11180,
WDR61	WD repeat domain 61	Homo sapiens	80349,
WDR62	WD repeat domain 62	Homo sapiens	284403,
WDR65	WD repeat domain 65	Homo sapiens	149465,
DCAF7	WD repeat domain 68	Homo sapiens	10238,
WDR7	WD repeat domain 7	Homo sapiens	23335,
WDR74	WD repeat domain 74	Homo sapiens	54663,
WDR77	WD repeat domain 77	Homo sapiens	79084,
WDR89	WD repeat domain 89	Homo sapiens	112840,
WDR91	WD repeat domain 91	Homo sapiens	29062,
WIPI1	WD repeat domain, phosphoinositide interacting 1	Homo sapiens	55062,
WIPI2	WD repeat domain, phosphoinositide interacting 2	Homo sapiens	26100,
WDYHV1	WDYHV motif containing 1	Homo sapiens	55093,
WEE1	WEE1 homolog (S. pombe)	Homo sapiens	7465,
WNK1	WNK lysine deficient protein kinase 1; hypothetical LOC100132369	Homo sapiens	100132369,65125,
WNK2	WNK lysine deficient protein kinase 2	Homo sapiens	65268,
